"","cm_key","mvar2","mvar4","mvar5","mvar6","mvar7","mvar8","mvar9","mvar10","mvar11","mvar12","mvar13","mvar14","mvar15","mvar16","mvar17","mvar18","mvar19","mvar20","mvar21","mvar22","mvar23","mvar24","mvar25","mvar26","mvar27","mvar28","mvar29","mvar30","mvar31","mvar32","mvar33","mvar34","mvar35","mvar36","mvar37","mvar38","mvar39","mvar40","mvar41","mvar42","mvar43","mvar44","mvar45","mvar49","mvar50","mvar51"
"1",50001,2,4,3,3,0.2495,0.231,4,0,5.0612,13,12,1,0,1,0,0,0,0,0,0,0,7,4,6,6,4,4,2,0,2,2,1,2,6,5,4,4,0,0,0,0,0,0,0.0601799756247681,0.120214177106017,0.0657962464681732
"2",50002,2,0,5,3,1.9329,0.7196,10,0,4.093,18,13,1,0,4,4,4,3,8,9,7,7,2,4,4,1,7,7,7,5,4,5,5,5,10,10,10,10,1,0,0,0,0,0,0.0691836792496137,0.090916624683484,0.0238932613716774
"3",50003,0,4,1,1,0.7969,0,1,0,2.3941,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,2,0,0,0,5,1,1,1,0,0,0,0,0,0,0.107640234849832,0.0190395082369835,0.133223903841298
"4",50004,1,9,6,3,0.1016,0.5074,5,0,1.5442,16,11,1,1,0,0,0,0,0,0,0,0,1,4,3,3,4,4,4,4,1,1,1,1,5,4,3,3,0,1,0,0,0,0,0.0182968477040637,0.0546765922517929,0.0668036207982795
"5",50005,0,4,2,1,0.7969,0.231,6,0,2.6261,18,14,6,0,2,2,6,0,2,1,4,0,4,7,7,4,0,0,0,0,0,0,0,0,6,5,5,1,0,0,0,0,0,0,0.0608881629061059,0.578911228058218,0.191207001003476
"6",50006,1,4,4,4,0.3863,0.1155,3,0,4.8671,9,12,1,0,3,0,0,1,4,3,4,4,4,4,4,4,7,7,8,7,3,2,3,2,7,5,7,5,0,0,0,0,0,0,0.046159666533507,0.157197827896381,0.0601967326895311
"7",50007,0,6,3,5,0.0185,0.5152,5,0,1.5412,16,10,1,0,3,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0.0414864028613728,0.0936439884559714,0.0914489400888722
"8",50008,0,4,1,1,0.0398,0,8,0,1.1001,13,10,3,1,0,0,0,0,0,0,0,0,5,4,4,4,4,4,0,0,1,1,1,1,3,2,1,1,2,0,0,0,0,0,0.0814017886717296,0.0124530097759795,0.0141996109110731
"9",50009,6,0,5,5,2.0957,0,8,1,6.2328,6,15,1,0,9,9,8,8,5,0,0,3,8,8,8,8,7,7,7,7,5,5,5,4,10,10,10,9,0,0,1,0,0,0,0.289489616044114,-0.0119983552347869,0.00701954234494441
"10",50010,0,1,2,3,0.2967,0,8,0,2.8097,3,12,1,0,2,1,3,2,5,6,5,3,3,2,1,3,0,0,0,0,0,0,0,0,5,5,5,4,0,0,0,0,0,0,0.0568504331158019,0.214893289064769,0.0212669972961953
"11",50011,1,2,4,7,0.1916,0.1831,2,0,2.5911,1,12,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,2,2,5,5,3,5,0,0,0,0,0,0,0.0274457084557213,0.0991505290741174,0.0524957647038068
"12",50012,1,0,3,2,0.1129,0,8,0,3.3675,3,14,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,2,0,2,2,1,0,5,5,4,4,0,0,0,0,0,0,0.0576520479356615,0.124345789256446,0.0229104623570323
"13",50013,1,4,8,3,0.1295,0.1155,2,0,1.8113,13,13,1,0,0,0,0,0,4,4,2,3,1,3,1,3,0,0,0,0,0,0,0,0,5,4,3,4,0,0,0,0,0,0,0.0297815645814498,0.083014112141563,0.044146304032062
"14",50014,2,3,2,1,0.0128,0.1155,4,0,1.9487,11,13,2,0,0,0,0,0,3,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0,0.0458372154122922,0.0630905011939238,0.104944658721357
"15",50015,0,2,7,9,0.7969,0,8,1,2.8627,16,13,1,3,0,0,0,0,7,3,0,0,4,4,1,5,0,0,0,0,0,0,0,0,6,5,6,4,0,0,0,0,0,0,0.0826824818244044,0.0136092089542112,0.114047423941016
"16",50016,1,7,2,1,0.4697,0.1831,4,0,4.9309,11,16,7,0,0,0,0,0,8,5,0,0,1,1,1,1,7,7,7,0,3,3,2,0,8,7,6,1,0,0,0,0,0,0,0.0815206135602772,0.499210194439876,0.0501927439284654
"17",50017,5,2,9,7,10,0,8,1,6.8625,9,14,1,0,0,0,0,0,0,6,4,0,8,4,8,7,8,8,8,8,8,7,7,8,11,11,11,11,0,0,0,0,0,0,0.198051099369486,0.0234061576058935,-0.0149910309078645
"18",50018,0,2,4,3,0.7969,0.1831,3,0,2.5768,7,11,1,0,3,1,2,3,3,1,1,0,3,3,2,4,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0,0.0444650360518336,0.19743976393428,0.16645614961931
"19",50019,0,4,5,3,0.7969,0.1155,2,0,4.4904,16,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,0,0,0,0.044172358796424,0.0868447823595827,0.181229711579831
"20",50020,6,2,3,10,3.6168,0.1155,5,0,4.7198,6,12,1,0,4,1,1,1,6,8,9,10,4,5,4,5,8,7,7,7,5,5,5,5,10,10,10,10,2,0,0,1,0,0,0.375432723240887,0.063191803011974,-0.00843743501835329
"21",50021,1,2,5,7,0.3674,0.1831,4,0,4.1686,3,11,1,0,0,1,3,0,9,7,7,5,7,5,4,7,5,5,7,5,3,2,2,3,7,5,5,6,0,0,0,0,0,0,0.0659124432518186,0.13969351510533,0.0460198707631503
"22",50022,0,2,5,6,0.7969,0,1,0,2.3052,2,12,1,0,3,3,4,3,0,0,0,0,4,4,1,5,0,2,0,0,4,4,4,4,9,8,7,7,0,1,0,0,0,0,0.0280721019761886,0.149064994295641,0.191475891992863
"23",50023,0,2,5,5,0.0238,0,8,1,1.0619,11,10,1,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,2,1,0,0,0,0,0,0.0556326259275551,-0.019839084257577,0.0474555515726764
"24",50024,3,0,5,3,0.1382,0,8,0,4.3802,11,17,1,0,3,3,3,2,7,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,0,0,0,0,0,0,0.0939809787442464,0.165411277650977,-0.0142919491569299
"25",50025,0,2,9,5,0.7969,0,2,1,0.9357,16,8,1,0,1,0,0,3,5,4,2,3,0,0,0,0,4,4,4,4,1,1,1,2,6,4,4,5,0,0,1,0,0,0,0.0455147487618123,-0.0145449311196843,0.191150911461383
"26",50026,0,4,1,1,0.0777,0,8,0,2.0418,14,14,1,0,0,3,4,0,0,0,0,0,1,3,2,3,0,0,0,0,0,0,0,0,5,5,4,4,0,0,0,0,0,0,0.0880327594429075,0.119993715890887,0.0313885483633732
"27",50027,0,3,6,5,0.7969,0.4275,8,0,6.6676,2,11,1,0,3,3,3,5,1,0,7,0,7,8,7,8,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0.0662602258989291,0.16267632193756,0.13326209155694
"28",50028,0,1,8,3,0.7969,0.4142,5,0,2.1028,4,9,1,0,8,2,0,3,4,3,3,7,7,4,7,4,0,0,0,0,0,0,0,0,6,4,4,5,0,0,0,0,0,0,0.0396640527392968,0.105430041047652,0.141147919591125
"29",50029,1,3,7,3,0.0834,0.231,4,0,3.8116,8,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,6,6,0,1,0,0,0,0,0.0341397282419523,0.0576268556578228,0.0278732854325355
"30",50030,0,7,2,1,1e-04,0.1155,4,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0.0414864028613728,0.0205602779878168,0.130708967614062
"31",50031,1,1,9,3,0.0857,0.1155,2,0,3.398,18,7,1,2,3,0,3,0,0,0,2,8,1,2,1,2,0,0,0,0,0,0,0,0,4,4,4,5,0,0,0,0,0,0,0.0373994070852728,0.0299832403471362,0.0403638298154075
"32",50032,3,9,7,5,1.9674,0,8,0,6.3501,18,15,1,3,6,4,6,7,3,7,0,4,6,6,7,4,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0.134106737815096,0.136952182541119,0.0118001346655417
"33",50033,0,2,2,1,0.7969,0,8,0,5.5049,9,10,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,1,1,1,4,4,1,3,2,1,0,0,0,0,0.0474158456159165,0.0150637838240632,0.0983382942237381
"34",50034,9,0,10,8,4.2656,0,5,0,6.0561,18,19,1,3,7,3,3,6,9,9,9,8,4,9,6,9,7,4,4,4,7,7,7,6,10,10,10,10,2,1,0,2,0,0,0.479573718022735,0.00671982857102521,-0.00607254048979935
"35",50035,1,3,3,3,0.2209,0,2,0,3.3352,8,11,1,0,0,5,0,0,2,3,0,0,0,0,0,0,7,7,7,6,3,2,2,3,6,6,5,6,0,0,0,0,0,0,0.046204895121967,0.137117910050985,0.0529038363819008
"36",50036,0,3,1,1,0.1623,0,1,0,4.2656,8,8,1,0,2,0,0,0,3,2,3,0,3,4,4,1,0,0,0,0,1,1,1,0,6,2,3,1,2,0,0,0,0,0,0.0986957122248468,0.0227150901820664,0.0365084336951428
"37",50037,0,2,6,5,0.3794,0.8831,10,1,5.347,17,8,1,0,0,0,1,1,8,0,0,0,4,7,5,6,0,0,1,0,2,2,4,3,7,5,8,6,0,0,1,0,0,0,0.102862057251666,0.0281434895483098,0.0900875425845273
"38",50038,3,2,7,9,0.3491,0,8,1,4.72,18,16,1,0,2,2,2,3,5,7,3,7,4,4,4,4,0,0,0,0,0,0,0,0,7,6,5,6,0,0,0,0,0,0,0.147125975945954,0.00541794587349023,0.0211260945591737
"39",50039,1,2,5,4,9.8401,0,8,0,6.758,14,15,1,0,1,1,1,3,0,0,0,4,0,0,0,0,6,5,4,4,6,6,6,5,11,10,10,10,0,1,0,0,0,0,0.0463081351643847,0.0986605563504383,-0.00703558639355953
"40",50040,3,4,5,8,0.2945,0.231,4,1,2.382,11,4,1,0,3,0,0,3,0,0,2,0,4,4,4,4,0,0,0,0,0,0,0,0,7,6,6,6,0,0,0,0,0,0,0.15795959820335,0.0158128257529302,0.144181951906825
"41",50041,4,3,5,4,0.0786,0,8,0,1.919,11,12,1,1,1,0,0,0,0,3,0,4,3,3,2,3,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0.0952884434829861,0.0994768640093995,0.0276292890688459
"42",50042,0,1,8,3,0.1941,0,8,0,2.5315,11,10,1,4,2,1,2,3,4,3,6,7,3,4,2,4,3,4,4,6,2,2,2,2,5,5,5,6,2,2,0,0,0,0,0.0239522029484313,0.08437043595853,-0.0149422154013942
