cm_key,mvar2,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar40,mvar41,mvar42,mvar43,mvar44,mvar45
50001,2,4,3,3,0.2495,0.231,4,0,5.0612,13,12,1,0,1,0,0,0,0,0,0,0,7,4,6,6,4,4,2,0,2,2,1,2,6,5,4,4,0,0,0,0,0,0
50002,2,0,5,3,1.9329,0.7196,10,0,4.093,18,13,1,0,4,4,4,3,8,9,7,7,2,4,4,1,7,7,7,5,4,5,5,5,10,10,10,10,1,0,0,0,0,0
50003,0,4,1,1,0.7969,0,1,0,2.3941,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,2,0,0,0,5,1,1,1,0,0,0,0,0,0
50004,1,9,6,3,0.1016,0.5074,5,0,1.5442,16,11,1,1,0,0,0,0,0,0,0,0,1,4,3,3,4,4,4,4,1,1,1,1,5,4,3,3,0,1,0,0,0,0
50005,0,4,2,1,0.7969,0.231,6,0,2.6261,18,14,6,0,2,2,6,0,2,1,4,0,4,7,7,4,0,0,0,0,0,0,0,0,6,5,5,1,0,0,0,0,0,0
50006,1,4,4,4,0.3863,0.1155,3,0,4.8671,9,12,1,0,3,0,0,1,4,3,4,4,4,4,4,4,7,7,8,7,3,2,3,2,7,5,7,5,0,0,0,0,0,0
50007,0,6,3,5,0.0185,0.5152,5,0,1.5412,16,10,1,0,3,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0
50008,0,4,1,1,0.0398,0,8,0,1.1001,13,10,3,1,0,0,0,0,0,0,0,0,5,4,4,4,4,4,0,0,1,1,1,1,3,2,1,1,2,0,0,0,0,0
50009,6,0,5,5,2.0957,0,8,1,6.2328,6,15,1,0,9,9,8,8,5,0,0,3,8,8,8,8,7,7,7,7,5,5,5,4,10,10,10,9,0,0,1,0,0,0
50010,0,1,2,3,0.2967,0,8,0,2.8097,3,12,1,0,2,1,3,2,5,6,5,3,3,2,1,3,0,0,0,0,0,0,0,0,5,5,5,4,0,0,0,0,0,0
50011,1,2,4,7,0.1916,0.1831,2,0,2.5911,1,12,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,2,2,5,5,3,5,0,0,0,0,0,0
50012,1,0,3,2,0.1129,0,8,0,3.3675,3,14,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,2,0,2,2,1,0,5,5,4,4,0,0,0,0,0,0
50013,1,4,8,3,0.1295,0.1155,2,0,1.8113,13,13,1,0,0,0,0,0,4,4,2,3,1,3,1,3,0,0,0,0,0,0,0,0,5,4,3,4,0,0,0,0,0,0
50014,2,3,2,1,0.0128,0.1155,4,0,1.9487,11,13,2,0,0,0,0,0,3,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0
50015,0,2,7,9,0.7969,0,8,1,2.8627,16,13,1,3,0,0,0,0,7,3,0,0,4,4,1,5,0,0,0,0,0,0,0,0,6,5,6,4,0,0,0,0,0,0
